Time=1388454 X=-16540.3 Y=13056
Time=1389477 X=-16276.9 Y=12859.7
Time=1390463 X=-15974.1 Y=12634.1
Time=1391515 X=-15650.9 Y=12393.4
Time=1392506 X=-15324.2 Y=12442.2
Time=1393527 X=-14960.9 Y=12586.9
Time=1394554 X=-14595.4 Y=12732.5
Time=1395556 X=-14239.5 Y=12876
Time=1396575 X=-13997.9 Y=12944.5
Time=1397583 X=-13997.9 Y=12944.5
Time=1398600 X=-13997.9 Y=12944.5
Time=1399605 X=-13997.9 Y=12944.5
Time=1400599 X=-13997.9 Y=12944.5
Time=1401604 X=-13997.9 Y=12944.5
Time=1402633 X=-13997.9 Y=12944.5
Time=1403652 X=-13997.9 Y=12944.5
Time=1404650 X=-13997.9 Y=12944.5
Time=1405658 X=-13997.9 Y=12944.5
Time=1406673 X=-13997.9 Y=12944.5
Time=1407703 X=-13997.9 Y=12944.5
Time=1408727 X=-13997.9 Y=12944.5
Time=1409745 X=-13997.9 Y=12944.5
Time=1410740 X=-13997.9 Y=12944.5
Time=1411763 X=-13997.9 Y=12944.5
Time=1412758 X=-13997.9 Y=12944.5
Time=1413783 X=-14164 Y=12829
Time=1414783 X=-14466.4 Y=12593.9
Time=1415820 X=-14780.1 Y=12350.2
Time=1416819 X=-15057.9 Y=12156.2
Time=1417856 X=-15150.8 Y=12091.1
Time=1418836 X=-14975 Y=12414
Time=1419859 X=-14787.6 Y=12758.1
Time=1420834 X=-14628.3 Y=13050.7
Time=1421844 X=-14602.1 Y=13052.6
Time=1422868 X=-14208 Y=13081.6
Time=1423908 X=-13822.1 Y=13110
Time=1424913 X=-13438.2 Y=13138.3
Time=1425939 X=-13122.5 Y=13159.3
Time=1426967 X=-12738.5 Y=13243.8
Time=1427987 X=-12439.8 Y=13339.1
Time=1428985 X=-12092 Y=13296.8
Time=1429999 X=-11749.7 Y=13255.2
Time=1430993 X=-11398.9 Y=13123.8
Time=1432012 X=-11091.7 Y=12882.6
Time=1433025 X=-10792 Y=12636.1
Time=1434050 X=-10619.5 Y=12410.4
Time=1435050 X=-10619.5 Y=12410.4
Time=1436058 X=-10707 Y=12586.2
Time=1437067 X=-10803 Y=12773
Time=1438075 X=-10803 Y=12773
Time=1439099 X=-10803 Y=12773
Time=1440129 X=-10803 Y=12773
Time=1441153 X=-10803 Y=12773
Time=1442162 X=-10803 Y=12773
Time=1443173 X=-10803 Y=12773
Time=1444200 X=-10803 Y=12773
Time=1445200 X=-10803 Y=12773
Time=1446228 X=-10803 Y=12773
Time=1447237 X=-10803 Y=12773
Time=1448252 X=-10803 Y=12773
Time=1449269 X=-11004.9 Y=12960.4
Time=1450290 X=-11004.9 Y=12960.4
Time=1451280 X=-11037.3 Y=13142.7
Time=1452310 X=-11119.3 Y=13528.6
Time=1453313 X=-11199.1 Y=13904.4
Time=1454327 X=-11205.3 Y=14066.2
Time=1455328 X=-10997.6 Y=13743.9
Time=1456329 X=-10789.9 Y=13421.6
Time=1457338 X=-10580.5 Y=13096.7
Time=1458367 X=-10367 Y=12765.4
Time=1459403 X=-10152 Y=12431.8
Time=1460397 X=-9945.8 Y=12111.8
Time=1461427 X=-9732.08 Y=11780.2
Time=1462432 X=-9545.49 Y=11490.6
Time=1463438 X=-9345.2 Y=11179.8
Time=1464439 X=-9137.5 Y=10857.5
Time=1465443 X=-8985.12 Y=10573.3
Time=1466464 X=-8775.53 Y=10244.8
Time=1467485 X=-8531.23 Y=9939.46
Time=1468508 X=-8266.89 Y=9650.32
Time=1469532 X=-7982.05 Y=9380.77
Time=1470534 X=-7725.47 Y=9096.67
Time=1471540 X=-7538.18 Y=8907.89
Time=1472532 X=-7393.64 Y=8859.6
Time=1473531 X=-7636.36 Y=8732.2
Time=1474551 X=-7636.36 Y=8732.2
Time=1475547 X=-7636.36 Y=8732.2
Time=1476571 X=-7636.36 Y=8732.2
Time=1477583 X=-7636.36 Y=8732.2
Time=1478625 X=-7636.36 Y=8732.2
Time=1479652 X=-7636.36 Y=8732.2
Time=1480662 X=-7636.36 Y=8732.2
Time=1481669 X=-7636.36 Y=8732.2
Time=1482681 X=-7636.36 Y=8732.2
Time=1483713 X=-7636.36 Y=8732.2
Time=1484741 X=-7636.36 Y=8732.2
Time=1485754 X=-7636.36 Y=8732.2
Time=1486770 X=-7636.36 Y=8732.2
Time=1487783 X=-7657.75 Y=8562.9
Time=1488813 X=-7684.55 Y=8203.67
Time=1489829 X=-7706.32 Y=7911.88
Time=1490847 X=-7682.08 Y=7981.01
Time=1491865 X=-7585.48 Y=8358.78
Time=1492896 X=-7487.64 Y=8741.39
Time=1493915 X=-7487.64 Y=8741.39
Time=1494961 X=-7487.64 Y=8741.39
Time=1495982 X=-7487.64 Y=8741.39
Time=1497030 X=-7487.64 Y=8741.39
Time=1498041 X=-7487.64 Y=8741.39
Time=1499049 X=-7487.64 Y=8741.39
Time=1500045 X=-7487.64 Y=8741.39
Time=1501076 X=-7487.64 Y=8741.39
Time=1502091 X=-7487.64 Y=8741.39
Time=1503101 X=-7632.17 Y=9009.14
Time=1504113 X=-7753.35 Y=9233.5
Time=1505114 X=-7747.58 Y=9346.82
Time=1506128 X=-7727.65 Y=9737.63
Time=1507160 X=-7706.77 Y=10135.3
Time=1508151 X=-7686.71 Y=10515.7
Time=1509181 X=-7686.55 Y=10518.7
Time=1510197 X=-7686.55 Y=10518.7
Time=1511226 X=-7686.55 Y=10518.7
Time=1512212 X=-7686.55 Y=10518.7
Time=1513216 X=-7686.55 Y=10518.7
Time=1514243 X=-7686.55 Y=10518.7
Time=1515269 X=-7686.55 Y=10518.7
Time=1516296 X=-7686.55 Y=10518.7
Time=1517300 X=-7686.55 Y=10518.7
Time=1518301 X=-7686.55 Y=10518.7
Time=1519331 X=-7686.55 Y=10518.7
Time=1520358 X=-7686.55 Y=10518.7
Time=1521393 X=-7686.55 Y=10518.7
Time=1522421 X=-7686.55 Y=10518.7
Time=1523422 X=-7686.55 Y=10518.7
Time=1524439 X=-7686.55 Y=10518.7
Time=1525475 X=-7913.4 Y=10560.6
Time=1526462 X=-8279.36 Y=10666.2
Time=1527490 X=-8660.53 Y=10776.3
Time=1528524 X=-8674.03 Y=10758.7
Time=1529573 X=-8312.5 Y=10576.5
Time=1530536 X=-7993.06 Y=10415.6
Time=1531554 X=-7782.54 Y=10309.5
Time=1532571 X=-7845.84 Y=10371.3
Time=1533586 X=-8123.95 Y=10643
Time=1534607 X=-8403.7 Y=10916.3
Time=1535640 X=-8686.75 Y=11192.8
Time=1536649 X=-8963.21 Y=11462.8
Time=1537657 X=-9234.03 Y=11730
Time=1538682 X=-9471.1 Y=12033.7
Time=1539684 X=-9660.24 Y=12302.1
Time=1540722 X=-9889.29 Y=12627.1
Time=1541738 X=-10113.5 Y=12945.2
Time=1542737 X=-10333.9 Y=13258
Time=1543738 X=-10538.7 Y=13573.1
Time=1544758 X=-10749.9 Y=13901.8
Time=1545760 X=-10957.3 Y=14224.7
Time=1546774 X=-10868.3 Y=14402
Time=1547792 X=-10536.5 Y=14535.7
Time=1548807 X=-10198 Y=14672.2
Time=1549837 X=-9832.04 Y=14819.7
Time=1550833 X=-9461.33 Y=14907.5
Time=1551804 X=-9095.95 Y=14976.6
Time=1552891 X=-8683.46 Y=15033.3
Time=1553931 X=-8288.81 Y=15087.5
Time=1554926 X=-7911.23 Y=15139.4
Time=1555943 X=-7597.66 Y=15219.3
Time=1556930 X=-7300.98 Y=15336.5
Time=1557940 X=-6938.47 Y=15479.7
Time=1558944 X=-6578.11 Y=15622.1
Time=1559964 X=-6212.01 Y=15766.7
Time=1560991 X=-5843.4 Y=15912.4
Time=1561983 X=-5487.35 Y=16053
Time=1563003 X=-5186.92 Y=15958.1
Time=1564016 X=-4834.37 Y=15789.2
Time=1565033 X=-4505.21 Y=15631.4
Time=1566044 X=-4169.79 Y=15470.7
Time=1567047 X=-3823.33 Y=15304.7
Time=1568075 X=-3468.23 Y=15134.5
Time=1569087 X=-3126.41 Y=14953.7
Time=1570174 X=-2770.41 Y=14755.6
Time=1571146 X=-2400.12 Y=14717.1
Time=1572169 X=-2008.9 Y=14695.8
Time=1573186 X=-1624.49 Y=14640
Time=1574179 X=-1374.69 Y=14451
Time=1575197 X=-1080.18 Y=14196.6
Time=1576204 X=-1098.62 Y=14130.6
Time=1577221 X=-1098.62 Y=14130.6
Time=1578218 X=-1098.62 Y=14130.6
Time=1579201 X=-1098.62 Y=14130.6
Time=1580229 X=-1098.62 Y=14130.6
Time=1581262 X=-1098.62 Y=14130.6
Time=1582273 X=-1098.62 Y=14130.6
Time=1583297 X=-1098.62 Y=14130.6
Time=1584327 X=-1098.62 Y=14130.6
Time=1585312 X=-1098.62 Y=14130.6
Time=1586390 X=-1206.35 Y=14170.5
Time=1587353 X=-1314.82 Y=14455.8
Time=1588406 X=-1314.82 Y=14455.8
Time=1589405 X=-1314.82 Y=14455.8
Time=1590418 X=-1314.82 Y=14455.8
Time=1591451 X=-1314.82 Y=14455.8
Time=1592470 X=-1314.82 Y=14455.8
Time=1593511 X=-1314.82 Y=14455.8
Time=1594439 X=-1314.82 Y=14455.8
Time=1595527 X=-1314.82 Y=14455.8
Time=1596513 X=-1314.82 Y=14455.8
Time=1597497 X=-1314.82 Y=14455.8
Time=1598544 X=-1313.67 Y=14443.2
Time=1599599 X=-1606 Y=14687
Time=1600607 X=-1606 Y=14687
Time=1601655 X=-1606 Y=14687
Time=1602668 X=-1621.76 Y=14615.5
Time=1603661 X=-1709.91 Y=14283.4
Time=1604702 X=-1759.81 Y=13980.5
Time=1605717 X=-1381.77 Y=13964.7
Time=1606724 X=-996.062 Y=13961
Time=1607700 X=-622.232 Y=13957.5
Time=1608791 X=-204.355 Y=13953.4
Time=1609853 X=202.415 Y=13949.6
Time=1610855 X=586.203 Y=13945.9
Time=1611862 X=900.535 Y=13942.9
Time=1612884 X=1194.86 Y=13940
Time=1613907 X=1489.47 Y=13937.2
Time=1614916 X=1780.05 Y=13934.4
Time=1615917 X=2058.01 Y=13961.7
Time=1616941 X=2284.32 Y=14150.7
Time=1617969 X=2501.37 Y=14352
Time=1618967 X=2711.27 Y=14551.3
Time=1619970 X=3025.04 Y=14772.9
Time=1620986 X=3261.74 Y=14910.4
Time=1622001 X=3312.16 Y=14936.8
Time=1623030 X=3312.16 Y=14936.8
Time=1624052 X=3312.16 Y=14936.8
Time=1625056 X=3312.16 Y=14936.8
Time=1626057 X=3312.16 Y=14936.8
Time=1627085 X=3312.16 Y=14936.8
Time=1628102 X=3312.16 Y=14936.8
Time=1629109 X=3312.16 Y=14936.8
Time=1630117 X=3312.16 Y=14936.8
Time=1631128 X=3312.16 Y=14936.8
Time=1632154 X=3312.16 Y=14936.8
Time=1633178 X=3312.16 Y=14936.8
Time=1634188 X=3312.16 Y=14936.8
Time=1635190 X=3312.16 Y=14936.8
Time=1636208 X=3312.16 Y=14936.8
Time=1637220 X=3312.16 Y=14936.8
Time=1638230 X=3365.4 Y=14893.1
Time=1639230 X=3680.51 Y=14697.2
Time=1640266 X=3931.17 Y=14478.5
Time=1641272 X=4267.29 Y=14290.1
Time=1642312 X=4614.77 Y=14095.3
Time=1643398 X=4956 Y=13904
Time=1644426 X=4699.35 Y=13917.7
Time=1645450 X=4307.67 Y=13938.6
Time=1646443 X=3933.17 Y=13958.6
Time=1647439 X=3668.26 Y=14061.5
Time=1648463 X=3389.73 Y=14306.2
Time=1649466 X=3110.61 Y=14570.2
Time=1650479 X=2840.17 Y=14826
Time=1651482 X=2840.17 Y=14826
Time=1652516 X=3206.02 Y=14708.7
Time=1653518 X=3528.98 Y=14575.4
Time=1654541 X=3909.04 Y=14480
Time=1655559 X=4243.89 Y=14299.2
Time=1656588 X=4529.64 Y=14131.1
Time=1657568 X=4853.18 Y=13940.7
Time=1658615 X=5198.83 Y=13737.4
Time=1659604 X=5525.34 Y=13545.3
Time=1660676 X=5879.25 Y=13337
Time=1661669 X=6207.07 Y=13144.2
Time=1662690 X=6544.14 Y=12945.8
Time=1663689 X=6843 Y=12770
Time=1664704 X=6857.56 Y=12451
Time=1665721 X=6889.6 Y=12079.7
Time=1666736 X=6923.03 Y=11692.3
Time=1667739 X=6956.06 Y=11309.6
Time=1668742 X=6989.09 Y=10926.8
Time=1669758 X=7025.39 Y=10538.8
Time=1670776 X=7050.1 Y=10387.6
Time=1671786 X=6995.37 Y=10766.5
Time=1672809 X=7216.33 Y=11090
Time=1673830 X=7451.56 Y=11402.4
Time=1674827 X=7681.27 Y=11707.5
Time=1675780 X=7900.84 Y=11999.1
Time=1676830 X=8142.76 Y=12320.5
Time=1677860 X=8357 Y=12605
Time=1678906 X=8614.08 Y=12719
Time=1679914 X=8966.47 Y=12874.1
Time=1680903 X=9341.79 Y=12872.7
Time=1681932 X=9716.8 Y=12751.6
Time=1682962 X=10083.5 Y=12606.1
Time=1683986 X=10330.8 Y=12422.6
Time=1684996 X=10469 Y=12486
Time=1686004 X=10469 Y=12486
Time=1687016 X=10469 Y=12486
Time=1688024 X=10469 Y=12486
Time=1689074 X=10469 Y=12486
Time=1690089 X=10469 Y=12486
Time=1691107 X=10469 Y=12486
