Time=2840298 X=7950.26 Y=-1225.56
Time=2842762 X=7868.75 Y=-1430.25
Time=2843784 X=7736.92 Y=-1759.43
Time=2844723 X=7603.21 Y=-2093.32
Time=2845734 X=7459.24 Y=-2452.82
Time=2846755 X=7442.66 Y=-2494.21
Time=2847795 X=7442.66 Y=-2494.21
Time=2848815 X=7442.66 Y=-2494.21
Time=2849866 X=7495.32 Y=-2441.24
Time=2850903 X=7775.36 Y=-2159.54
Time=2851905 X=8045.95 Y=-1887.35
Time=2852957 X=8330.05 Y=-1601.58
Time=2853968 X=8603.07 Y=-1326.94
Time=2855017 X=8908.73 Y=-1075.69
Time=2855967 X=9241.03 Y=-927.521
Time=2856988 X=9587.75 Y=-746.784
Time=2858279 X=10010.6 Y=-490.493
Time=2859339 X=10348.6 Y=-265.598
Time=2860264 X=10609.8 Y=-27.3571
Time=2861368 X=10719 Y=86
Time=2862330 X=10572.6 Y=9.94057
Time=2863300 X=10309.7 Y=-121.895
Time=2864320 X=9979.39 Y=-330.51
Time=2865429 X=10189.1 Y=-142.174
Time=2866472 X=10186.7 Y=-21.7052
Time=2867538 X=10186.7 Y=-21.7052
Time=2868461 X=10186.7 Y=-21.7052
Time=2869537 X=10186.7 Y=-21.7052
Time=2870455 X=10186.7 Y=-21.7052
Time=2871566 X=10186.7 Y=-21.7052
Time=2872624 X=10186.7 Y=-21.7052
Time=2873667 X=10186.7 Y=-21.7052
Time=2874818 X=10186.7 Y=-21.7052
Time=2875802 X=10186.7 Y=-21.7052
Time=2876883 X=10186.7 Y=-21.7052
Time=2878122 X=10186.7 Y=-21.7052
Time=2879133 X=10186.7 Y=-21.7052
Time=2880171 X=10186.7 Y=-21.7052
Time=2881218 X=10186.7 Y=-21.7052
Time=2882210 X=10186.7 Y=-21.7052
Time=2883256 X=10186.7 Y=-21.7052
Time=2884243 X=10186.7 Y=-21.7052
Time=2885168 X=10186.7 Y=-21.7052
Time=2886186 X=10186.7 Y=-21.7052
Time=2887280 X=10186.7 Y=-21.7052
Time=2888391 X=10186.7 Y=-21.7052
Time=2889450 X=10186.7 Y=-21.7052
Time=2890294 X=10186.7 Y=-21.7052
Time=2891556 X=10186.1 Y=-19.9873
Time=2892601 X=10053.3 Y=-123.1
Time=2893614 X=9746.8 Y=-361.033
Time=2894643 X=9435.45 Y=-602.725
Time=2895713 X=9143.75 Y=-829.162
Time=2896774 X=8943 Y=-985
Time=2897839 X=8814.3 Y=-711.133
Time=2898914 X=8639.12 Y=-338.484
Time=2899971 X=8466.89 Y=27.9263
Time=2901059 X=8329.22 Y=320.791
Time=2902110 X=8200.45 Y=594.724
Time=2903147 X=8073.4 Y=865.007
Time=2904137 X=7952.1 Y=1123.04
Time=2905112 X=7832.65 Y=1377.16
Time=2906186 X=7701.06 Y=1657.09
Time=2907226 X=7573.64 Y=1928.16
Time=2908215 X=7452.47 Y=2185.93
Time=2909228 X=7328.36 Y=2449.96
Time=2910282 X=7199.22 Y=2724.67
Time=2911350 X=7068.37 Y=3003.03
Time=2912347 X=7053.84 Y=3033.94
Time=2913368 X=7242.98 Y=2778.88
Time=2914380 X=7473.87 Y=2467.5
Time=2915382 X=7702.47 Y=2159.21
Time=2916438 X=7943.4 Y=1834.3
Time=2917460 X=8176.57 Y=1519.85
Time=2918490 X=8411.57 Y=1202.94
Time=2919468 X=8461.08 Y=1136.17
Time=2920472 X=8461.08 Y=1136.17
Time=2921518 X=8461.08 Y=1136.17
Time=2922553 X=8634.94 Y=869.85
Time=2923584 X=8872.23 Y=554.175
Time=2924544 X=9093.18 Y=260.239
Time=2925827 X=9388.46 Y=-132.595
Time=2926942 X=9645.09 Y=-473.989
Time=2927899 X=9865.35 Y=-767.007
Time=2928916 X=10099.4 Y=-1078.4
Time=2929944 X=10290.8 Y=-1333.06
Time=2931006 X=10537 Y=-1618.62
Time=2932004 X=10799.1 Y=-1896.88
Time=2933048 X=10919.7 Y=-2141.64
Time=2934102 X=10884.9 Y=-2543.86
Time=2935146 X=10850.5 Y=-2942.27
Time=2935991 X=10888.6 Y=-3256.35
Time=2937332 X=11084.8 Y=-3729.62
Time=2938312 X=11309.2 Y=-4023.99
Time=2939303 X=11425.6 Y=-4118.37
Time=2940330 X=11521.4 Y=-4196
Time=2941355 X=11521.4 Y=-4196
Time=2942365 X=11521.4 Y=-4196
Time=2943474 X=11521.4 Y=-4196
Time=2944452 X=11521.4 Y=-4196
Time=2945487 X=11521.4 Y=-4196
Time=2946770 X=11521.4 Y=-4196
Time=2947734 X=11521.4 Y=-4196
Time=2948965 X=11521.4 Y=-4196
Time=2949967 X=11521.4 Y=-4196
Time=2950999 X=11521.4 Y=-4196
Time=2951867 X=11521.4 Y=-4196
Time=2953175 X=11521.4 Y=-4196
Time=2954146 X=11521.4 Y=-4196
Time=2955141 X=11521.4 Y=-4196
Time=2956111 X=11521.4 Y=-4196
Time=2957175 X=11521.4 Y=-4196
Time=2958192 X=11521.4 Y=-4196
Time=2959259 X=11521.4 Y=-4196
Time=2960279 X=11521.4 Y=-4196
Time=2961298 X=11625.8 Y=-4265.29
Time=2962325 X=11791.3 Y=-4371.58
Time=2963345 X=11955.7 Y=-4477.15
Time=2964397 X=12294.7 Y=-4694.91
Time=2965412 X=12621.9 Y=-4905.01
Time=2966357 X=12926.4 Y=-5100.62
Time=2967507 X=13297.1 Y=-5338.67
Time=2968472 X=13603.6 Y=-5545.47
Time=2969485 X=13735.1 Y=-5640.43
Time=2970555 X=13482.9 Y=-5463.45
Time=2971581 X=13234.7 Y=-5302.96
Time=2972630 X=12897.3 Y=-5095.64
Time=2973670 X=12557.9 Y=-4887.09
Time=2974668 X=12232.2 Y=-4686.96
Time=2975712 X=11891.5 Y=-4477.6
Time=2976703 X=11568 Y=-4278.88
Time=2977755 X=11566.3 Y=-4277.81
Time=2978874 X=11566.3 Y=-4277.81
Time=2979834 X=11321.7 Y=-4053.18
Time=2980855 X=11094.8 Y=-3746.84
Time=2981932 X=10929.5 Y=-3370.2
Time=2982973 X=10856.2 Y=-2989.11
Time=2983964 X=10918.8 Y=-2614.71
Time=2984992 X=10983.7 Y=-2226.34
Time=2986042 X=11050.1 Y=-1829.65
Time=2987022 X=11112 Y=-1459.41
Time=2988086 X=11128.4 Y=-1078.83
Time=2989180 X=11060.9 Y=-707.595
Time=2990185 X=10992 Y=-328.852
Time=2991247 X=10919.2 Y=71.3718
Time=2992268 X=10849.3 Y=456.145
Time=2993311 X=10777.8 Y=849.208
Time=2994337 X=10633.3 Y=920.029
Time=2995396 X=10304.4 Y=682.658
Time=2996372 X=10001.2 Y=463.891
Time=2997454 X=9710.87 Y=254.345
Time=2998497 X=9386.9 Y=20.5603
Time=2999530 X=9066.04 Y=-210.983
Time=3000546 X=8750.46 Y=-438.715
Time=3001578 X=8429.91 Y=-670.034
Time=3002605 X=8193 Y=-841
Time=3003634 X=7811.55 Y=-741.746
Time=3004662 X=7422.33 Y=-744.293
Time=3005704 X=7083.76 Y=-814.219
Time=3006676 X=6809.61 Y=-870.841
Time=3007701 X=6520.51 Y=-930.549
Time=3008752 X=6224.08 Y=-991.773
Time=3009735 X=5860.04 Y=-1083.32
Time=3010924 X=5438.78 Y=-1256.42
Time=3011923 X=5084.84 Y=-1401.85
Time=3012921 X=4749.02 Y=-1582.85
Time=3013957 X=4420.78 Y=-1805.83
Time=3014990 X=4094.44 Y=-2029.57
Time=3016020 X=3957.65 Y=-2123.36
Time=3017037 X=3957.65 Y=-2123.36
Time=3017998 X=3957.65 Y=-2123.36
Time=3019075 X=3957.65 Y=-2123.36
Time=3020009 X=3957.65 Y=-2123.36
Time=3021152 X=3957.65 Y=-2123.36
Time=3022239 X=3957.65 Y=-2123.36
Time=3023299 X=3957.65 Y=-2123.36
Time=3024272 X=3706.03 Y=-1932.76
Time=3025304 X=3395.97 Y=-1687.55
Time=3026339 X=3314.82 Y=-1714.86
Time=3027341 X=3330.87 Y=-1775.2
Time=3028313 X=3269.29 Y=-1761.58
Time=3029333 X=2966.26 Y=-1694.38
Time=3030341 X=2589.23 Y=-1611.16
Time=3031415 X=2263.38 Y=-1520.84
Time=3032400 X=2165 Y=-1541
Time=3033484 X=2165 Y=-1541
Time=3034475 X=2165 Y=-1541
Time=3035533 X=2165 Y=-1541
Time=3036617 X=2165 Y=-1541
Time=3037628 X=2165 Y=-1541
Time=3038615 X=2165 Y=-1541
Time=3039649 X=2165 Y=-1541
Time=3040744 X=2165 Y=-1541
Time=3041736 X=2165 Y=-1541
Time=3042711 X=2165 Y=-1541
Time=3043735 X=2165 Y=-1541
Time=3044866 X=2165 Y=-1541
Time=3045736 X=2165 Y=-1541
Time=3046804 X=2165 Y=-1541
Time=3047898 X=2202.52 Y=-1542.04
Time=3049020 X=2499.71 Y=-1550.3
Time=3050061 X=2499.71 Y=-1550.3
Time=3051121 X=2499.71 Y=-1550.3
Time=3052037 X=2499.71 Y=-1550.3
Time=3053138 X=2327.3 Y=-1448.3
Time=3054206 X=1975.21 Y=-1240
Time=3055243 X=1830.69 Y=-932.49
Time=3056226 X=1860.05 Y=-771.308
Time=3057284 X=1860.05 Y=-771.308
Time=3058298 X=1860.05 Y=-771.308
Time=3059363 X=1860.05 Y=-771.308
Time=3060480 X=1860.05 Y=-771.308
Time=3061498 X=1595.51 Y=-816.258
Time=3062488 X=1351.94 Y=-857.646
Time=3063607 X=1351.94 Y=-857.646
Time=3064622 X=1351.94 Y=-857.646
Time=3065579 X=1128.39 Y=-701.997
Time=3066655 X=802.902 Y=-449.321
Time=3067682 X=503.649 Y=-193.984
Time=3068758 X=190.118 Y=73.5363
Time=3069826 X=122.226 Y=131.466
Time=3070819 X=122.226 Y=131.466
Time=3071796 X=122.226 Y=131.466
Time=3072809 X=122.226 Y=131.466
Time=3073913 X=125.597 Y=150.465
Time=3074829 X=189.527 Y=458.815
Time=3075933 X=290.415 Y=869.466
Time=3076992 X=389.916 Y=1262.69
Time=3077917 X=487.668 Y=1603.24
Time=3079016 X=625.6 Y=2000.9
Time=3080018 X=727.473 Y=2269.59
Time=3081058 X=721.533 Y=2376.28
Time=3082044 X=710 Y=2650
Time=3083144 X=710 Y=2650
Time=3084153 X=710 Y=2650
Time=3085177 X=710 Y=2650
Time=3086226 X=710 Y=2650
Time=3087163 X=710 Y=2650
Time=3088324 X=710 Y=2650
Time=3089288 X=710 Y=2650
Time=3090445 X=710 Y=2650
Time=3091478 X=710 Y=2650
Time=3092435 X=710 Y=2650
