Time=2920 X=6765 Y=19068
Time=4044 X=6928.34 Y=18763.6
Time=5020 X=7105.1 Y=18434.2
Time=6029 X=7105.1 Y=18434.2
Time=7120 X=7105.1 Y=18434.2
Time=8125 X=6925.38 Y=18320.2
Time=9172 X=6567.89 Y=18138.4
Time=10180 X=6223.72 Y=17963.4
Time=11191 X=5878.53 Y=17787.9
Time=12207 X=5567.18 Y=17738.2
Time=13200 X=5309.52 Y=17741.9
Time=14230 X=5682.61 Y=17870.2
Time=15198 X=6033.24 Y=17990.7
Time=16241 X=6411.03 Y=18120.7
Time=17254 X=6314.88 Y=18081.7
Time=18279 X=6685.34 Y=18211.8
Time=19278 X=7046.4 Y=18338.5
Time=20298 X=6368.02 Y=18042.7
Time=21293 X=6104.14 Y=17873
Time=22282 X=5818.63 Y=17671.9
Time=23323 X=5449.26 Y=17535.5
Time=24320 X=5412.25 Y=17525.6
Time=25331 X=5412.25 Y=17525.6
Time=26360 X=5412.25 Y=17525.6
Time=27369 X=5412.25 Y=17525.6
Time=28392 X=5412.25 Y=17525.6
Time=29358 X=5412.25 Y=17525.6
Time=30442 X=5504.87 Y=17596.7
Time=31431 X=5504.87 Y=17596.7
Time=32442 X=5504.87 Y=17596.7
Time=33440 X=5201.98 Y=17447
Time=34472 X=4978 Y=17330
Time=35470 X=4978 Y=17330
Time=36483 X=5003.84 Y=17454.5
Time=37494 X=5068.28 Y=17765.1
Time=38506 X=5068.28 Y=17765.1
Time=39490 X=5068.28 Y=17765.1
Time=40524 X=5068.28 Y=17765.1
Time=41527 X=5068.28 Y=17765.1
Time=42555 X=5068.28 Y=17765.1
Time=43580 X=5068.28 Y=17765.1
Time=44585 X=4923.25 Y=17542.9
Time=45590 X=4704.38 Y=17224
Time=46621 X=4480 Y=16897
Time=47609 X=4265.88 Y=16584.9
Time=48709 X=4032.18 Y=16234.5
Time=49683 X=3840.88 Y=15914.2
Time=50713 X=3621.35 Y=15586.5
Time=51718 X=3388.32 Y=15280.2
Time=52744 X=3136.56 Y=14978.5
Time=53748 X=2987.74 Y=14771.1
Time=54772 X=2889.47 Y=14713.8
Time=55779 X=2889.47 Y=14713.8
Time=56784 X=2889.47 Y=14713.8
Time=57776 X=2889.47 Y=14713.8
Time=58806 X=2949.67 Y=14769.5
Time=59806 X=3062.36 Y=15040.1
Time=60840 X=3062.36 Y=15040.1
Time=61874 X=3062.36 Y=15040.1
Time=62873 X=3062.36 Y=15040.1
Time=63879 X=3062.36 Y=15040.1
Time=64875 X=3062.36 Y=15040.1
Time=65878 X=3106.68 Y=15089.4
Time=66892 X=3321 Y=15208
Time=67901 X=3321 Y=15208
Time=68948 X=3321 Y=15208
Time=69952 X=3214.49 Y=14958.9
Time=70951 X=3064.05 Y=14607.1
Time=71973 X=2910.14 Y=14247.1
Time=72965 X=2815.57 Y=13880.6
Time=73983 X=2736.96 Y=13498.6
Time=74995 X=2663.53 Y=13163.8
Time=76003 X=2579.01 Y=12886.1
Time=77012 X=2457.28 Y=12519.3
Time=78029 X=2315.15 Y=12157
Time=79046 X=2250.9 Y=11951.5
Time=80058 X=2250.9 Y=11951.5
Time=81071 X=2250.9 Y=11951.5
Time=82092 X=2250.9 Y=11951.5
Time=83125 X=2250.9 Y=11951.5
Time=84137 X=2250.9 Y=11951.5
