Time=4981 X=-25000 Y=-3996
Time=6138 X=-24902.7 Y=-4210.56
Time=7279 X=-24722.3 Y=-4608.62
Time=8220 X=-24573.5 Y=-4936.9
Time=9286 X=-24404.9 Y=-5308.8
Time=10372 X=-24328.9 Y=-5528.23
Time=11415 X=-24109.5 Y=-5691.48
Time=12426 X=-23722.5 Y=-5708.52
Time=13493 X=-23314.2 Y=-5726.5
Time=14524 X=-22958.9 Y=-5742.15
Time=15646 X=-22529.5 Y=-5761.06
Time=16625 X=-22154.9 Y=-5777.55
Time=17774 X=-21813.3 Y=-5774.92
Time=18807 X=-21431.4 Y=-5671.62
Time=19855 X=-21043.9 Y=-5566.81
Time=20861 X=-20671.9 Y=-5466.21
Time=21855 X=-20310 Y=-5348.71
Time=22942 X=-19978 Y=-5239.85
Time=23927 X=-19623.1 Y=-5111.71
Time=24954 X=-19252.4 Y=-4980.06
Time=25965 X=-19088.8 Y=-4922.47
Time=26999 X=-19088.8 Y=-4922.47
Time=28002 X=-19088.8 Y=-4922.47
Time=29068 X=-19088.8 Y=-4922.47
Time=30040 X=-19088.8 Y=-4922.47
Time=31101 X=-19088.8 Y=-4922.47
Time=32114 X=-19088.8 Y=-4922.47
Time=33098 X=-19088.8 Y=-4922.47
Time=34134 X=-19088.8 Y=-4922.47
Time=35212 X=-19088.8 Y=-4922.47
Time=36240 X=-19088.8 Y=-4922.47
Time=37237 X=-19088.8 Y=-4922.47
Time=38280 X=-19088.8 Y=-4922.47
Time=39292 X=-19088.8 Y=-4922.47
Time=40278 X=-19088.8 Y=-4922.47
Time=41300 X=-19088.8 Y=-4922.47
Time=42303 X=-19088.8 Y=-4922.47
Time=43373 X=-19088.8 Y=-4922.47
Time=44400 X=-19088.8 Y=-4922.47
Time=45390 X=-19088.8 Y=-4922.47
Time=46424 X=-19088.8 Y=-4922.47
Time=47444 X=-19088.8 Y=-4922.47
Time=48482 X=-19088.8 Y=-4922.47
Time=49472 X=-19088.8 Y=-4922.47
Time=50541 X=-19088.8 Y=-4922.47
Time=51562 X=-19088.8 Y=-4922.47
Time=52543 X=-19312.6 Y=-4937.46
Time=53527 X=-19367.8 Y=-4941.15
Time=54661 X=-19367.8 Y=-4941.15
Time=55625 X=-19367.8 Y=-4941.15
Time=56692 X=-19367.8 Y=-4941.15
Time=57691 X=-19367.8 Y=-4941.15
Time=58744 X=-19367.8 Y=-4941.15
Time=59761 X=-19367.8 Y=-4941.15
Time=60693 X=-19367.8 Y=-4941.15
Time=61795 X=-19367.8 Y=-4941.15
Time=62830 X=-19367.8 Y=-4941.15
Time=63837 X=-19367.8 Y=-4941.15
Time=64884 X=-19367.8 Y=-4941.15
Time=65880 X=-19367.8 Y=-4941.15
Time=66844 X=-19266.3 Y=-4895.06
Time=67906 X=-18899.9 Y=-4712.53
Time=68927 X=-18549.6 Y=-4533.12
Time=69940 X=-18259.9 Y=-4402.58
Time=70933 X=-17900.1 Y=-4270.49
Time=71970 X=-17524.4 Y=-4132.55
Time=72985 X=-17156.7 Y=-3997.54
Time=73978 X=-16797 Y=-3865.45
Time=74992 X=-16447.3 Y=-3737.05
Time=76027 X=-16130.5 Y=-3664.49
Time=77027 X=-15761.1 Y=-3765.78
Time=78079 X=-15365.8 Y=-3843.01
Time=79085 X=-15099.8 Y=-3955.33
Time=80108 X=-14976 Y=-3899
Time=81144 X=-14976 Y=-3899
Time=82178 X=-14976 Y=-3899
Time=83166 X=-14976 Y=-3899
Time=84184 X=-14976 Y=-3899
