Time=4461 X=-22432 Y=16466
Time=5496 X=-22040.4 Y=16404
Time=6584 X=-21628.8 Y=16338.9
Time=7554 X=-21261.6 Y=16280.7
Time=8688 X=-21213.9 Y=16273.2
Time=9725 X=-21381.4 Y=15929.1
Time=10748 X=-21553 Y=15576.8
Time=11787 X=-21727.2 Y=15219
Time=12831 X=-21887.1 Y=14890.6
Time=13874 X=-22051.3 Y=14553.3
Time=14933 X=-21958.9 Y=14464.4
Time=15976 X=-21588.8 Y=14599.9
Time=17033 X=-21336.2 Y=14491.5
Time=18041 X=-21555.4 Y=14170.2
Time=19115 X=-21788.9 Y=13827.7
Time=20144 X=-22012.7 Y=13499.7
Time=21206 X=-22243.6 Y=13161.1
Time=22241 X=-22467.2 Y=12833.2
Time=23240 X=-22692.7 Y=12524.1
Time=24269 X=-22919 Y=12238.2
Time=25239 X=-22620.1 Y=12186.9
Time=26285 X=-22311.6 Y=12044.3
Time=27296 X=-21962 Y=11878
Time=28321 X=-21620.4 Y=11684.5
Time=29337 X=-21281.7 Y=11492.7
Time=30431 X=-20917.1 Y=11286.2
Time=31459 X=-20574.5 Y=11092.1
Time=32456 X=-20249.7 Y=10891.9
Time=33494 X=-19919 Y=10671.2
Time=34513 X=-19634.6 Y=10491.6
Time=35547 X=-19295.1 Y=10287.7
Time=36531 X=-18971.9 Y=10093.8
Time=37599 X=-18841.8 Y=10015.7
Time=38607 X=-18841.8 Y=10015.7
Time=39596 X=-18841.8 Y=10015.7
Time=40651 X=-18841.8 Y=10015.7
Time=41653 X=-18841.8 Y=10015.7
Time=42683 X=-18747.9 Y=9968.92
Time=43707 X=-18473 Y=9902
Time=44717 X=-18473 Y=9902
Time=45730 X=-18473 Y=9902
Time=46734 X=-18473 Y=9902
Time=47774 X=-18473 Y=9902
Time=48808 X=-18473 Y=9902
Time=49790 X=-18473 Y=9902
Time=50828 X=-18473 Y=9902
Time=51835 X=-18473 Y=9902
Time=52842 X=-18473 Y=9902
Time=53860 X=-18473 Y=9902
Time=54872 X=-18473 Y=9902
Time=55895 X=-18473 Y=9902
Time=56877 X=-18273.3 Y=10203.9
Time=57951 X=-18250.9 Y=10237.7
Time=58957 X=-18250.9 Y=10237.7
Time=59989 X=-18250.9 Y=10237.7
Time=61009 X=-18250.9 Y=10237.7
Time=62029 X=-18250.9 Y=10237.7
Time=63032 X=-18250.9 Y=10237.7
Time=64052 X=-18250.9 Y=10237.7
Time=65059 X=-18250.9 Y=10237.7
Time=66096 X=-18250.9 Y=10237.7
Time=67120 X=-18250.9 Y=10237.7
Time=68128 X=-18250.9 Y=10237.7
Time=69135 X=-18089.9 Y=10306.5
Time=70165 X=-17727.1 Y=10461.6
Time=71185 X=-17367.9 Y=10615.2
Time=72185 X=-17015.6 Y=10765.7
Time=73182 X=-16664.5 Y=10915.8
Time=74223 X=-16359.8 Y=11046
Time=75243 X=-16359.8 Y=11046
Time=76268 X=-16321.8 Y=11166.4
Time=77284 X=-16258.6 Y=11478.3
Time=78248 X=-16191.8 Y=11807.8
Time=79370 X=-16106.4 Y=12229
Time=80386 X=-16029 Y=12610.4
Time=81401 X=-16106.1 Y=12608.5
Time=82441 X=-16366.8 Y=12307.3
Time=83451 X=-16620 Y=12014.8
Time=84497 X=-16882.2 Y=11711.9
Time=85521 X=-17138.9 Y=11415.3
Time=86565 X=-17385.6 Y=11130.3
Time=87603 X=-17645.9 Y=10829.6
Time=88630 X=-17903.3 Y=10532.2
Time=89682 X=-18167.1 Y=10227.6
Time=90702 X=-18422.8 Y=9932.16
Time=91730 X=-18599.8 Y=9727.7
Time=92739 X=-18521.3 Y=9793.33
Time=93765 X=-18219.9 Y=10045.5
Time=94817 X=-17972.5 Y=10252.5
Time=95842 X=-17669.1 Y=10506.4
Time=96879 X=-17362.2 Y=10763.2
Time=98051 X=-17015.3 Y=11053.5
Time=99063 X=-16715.8 Y=11304.1
Time=100147 X=-16394.9 Y=11572.5
Time=101173 X=-16091.3 Y=11826.6
Time=102205 X=-15785.8 Y=12082.2
Time=103145 X=-15539 Y=12288.7
Time=104237 X=-15375.8 Y=12633.3
Time=105342 X=-15206.2 Y=13021.1
Time=106383 X=-15034.6 Y=13383.7
Time=107383 X=-14840.6 Y=13717.2
Time=108418 X=-14604.5 Y=14039
Time=109444 X=-14344.4 Y=14289.3
Time=110431 X=-14328 Y=14299
Time=111497 X=-14328 Y=14299
Time=112506 X=-14328 Y=14299
Time=113530 X=-14328 Y=14299
Time=114576 X=-14328 Y=14299
Time=115594 X=-14376.1 Y=14159.4
Time=116618 X=-14536.5 Y=13914.8
Time=117653 X=-14667.8 Y=13764.5
Time=118707 X=-14667.8 Y=13764.5
Time=119735 X=-14673.5 Y=13753.5
Time=120761 X=-14623.3 Y=13722.1
Time=121823 X=-14347.4 Y=13854.1
Time=122826 X=-14129.6 Y=13999.9
Time=123877 X=-14048.1 Y=14035.6
Time=124945 X=-14048.1 Y=14035.6
Time=125944 X=-14048.1 Y=14035.6
Time=126961 X=-14048.1 Y=14035.6
Time=127998 X=-14048.1 Y=14035.6
Time=129005 X=-14048.1 Y=14035.6
Time=130021 X=-13788.9 Y=14148.5
Time=131066 X=-13428.9 Y=14292.5
Time=132135 X=-13084.4 Y=14449.6
Time=133165 X=-12814.5 Y=14572.8
Time=134164 X=-12951 Y=14506.4
Time=135185 X=-13215.7 Y=14378.4
Time=136220 X=-13484.1 Y=14248.6
Time=137256 X=-13752.7 Y=14118.6
Time=138247 X=-13776 Y=14107.4
Time=139343 X=-14100.4 Y=14019.2
Time=140377 X=-14440.9 Y=13816.9
Time=141396 X=-14776.4 Y=13617.5
Time=142411 X=-14781 Y=13614.8
Time=143450 X=-14402.7 Y=13677.6
Time=144448 X=-14025.6 Y=13740.1
Time=145513 X=-13638.2 Y=13809.9
Time=146542 X=-13304.4 Y=13864.5
Time=147569 X=-12916.2 Y=13928
Time=148607 X=-12523.8 Y=13992.3
Time=149634 X=-12135.6 Y=14055.8
Time=150697 X=-11754.9 Y=14118.1
Time=151707 X=-11373.1 Y=14180.6
Time=152725 X=-10992.7 Y=14095
Time=153761 X=-10607.6 Y=14000.1
Time=154818 X=-10301.2 Y=13853.6
Time=155867 X=-9958.24 Y=13644.2
Time=156896 X=-9621.85 Y=13438.8
Time=157921 X=-9402.5 Y=13304.8
Time=158943 X=-9402.5 Y=13304.8
Time=159992 X=-9402.5 Y=13304.8
Time=161004 X=-9402.5 Y=13304.8
Time=162034 X=-9402.5 Y=13304.8
Time=163011 X=-9402.5 Y=13304.8
Time=164118 X=-9402.5 Y=13304.8
Time=165125 X=-9402.5 Y=13304.8
Time=166166 X=-9402.5 Y=13304.8
Time=167177 X=-9553.2 Y=13376.4
Time=168206 X=-9915.41 Y=13528.6
Time=169229 X=-10235.6 Y=13635.2
Time=170226 X=-10235.6 Y=13635.2
Time=171295 X=-10235.6 Y=13635.2
Time=172317 X=-10235.6 Y=13635.2
Time=173371 X=-10520.8 Y=13813.5
Time=174402 X=-10855.8 Y=14023
Time=175440 X=-11163 Y=14215
Time=176490 X=-10886.9 Y=14077.7
Time=177538 X=-10524.7 Y=13897.7
Time=178576 X=-10166 Y=13719.3
